"Feature","Gain","Cover","Frequency"
"ENSG00000134824",0.00453507394293941,0.00974246307819198,0.0107026523964635
"ENSG00000175928",0.00450091675562802,0.00187618376610332,0.00232666356444858
"ENSG00000124302",0.00448243269514307,0.00641812993209481,0.00791065611912518
"ENSG00000198650",0.00442528131320107,0.00759351921530595,0.00604932526756631
"ENSG00000251141",0.00441480824659061,0.00302035743093613,0.00372266170311773
"ENSG00000109846",0.0042958349783364,0.0107622554664592,0.00418799441600745
"ENSG00000196932",0.00423284038475697,0.0057436622126405,0.00465332712889716
"ENSG00000151365",0.00417010249490507,0.000930556866683903,0.00139599813866915
"ENSG00000135744",0.0039014261277945,0.00422275496236842,0.00372266170311773
"ENSG00000143556",0.00385821971645682,0.00580197947459048,0.00465332712889716
"ENSG00000075461",0.0037887312424642,0.00978049993144003,0.00697999069334574
"ENSG00000205426",0.00377932424805842,0.00551499761587501,0.00697999069334574
"ENSG00000163993",0.0037733011767594,0.00502540014798302,0.00372266170311773
"ENSG00000164403",0.00366519132069699,0.00221455343380261,0.00372266170311773
"ENSG00000137673",0.00365208383904324,0.0114063541511961,0.00372266170311773
"ENSG00000136883",0.00329930860227197,0.00574046098155594,0.00465332712889716
"ENSG00000211663",0.00309913649258479,0.00392312918084795,0.00372266170311773
"ENSG00000099812",0.00303915635807043,0.00438152898637093,0.00465332712889716
"ENSG00000124939",0.00303481661728839,0.00490210093187178,0.00837598883201489
"ENSG00000164756",0.0030298379013928,0.000532467922186043,0.00232666356444858
"ENSG00000204434",0.00294027085254692,0.00457562501142028,0.00511865984178688
"ENSG00000235687",0.00283767845610329,0.00313601992013017,0.00186133085155886
"ENSG00000213088",0.00270182733539463,0.00596411717733234,0.00418799441600745
"ENSG00000082175",0.00269471062825857,0.00408135801702383,0.00325732899022801
"ENSG00000237940",0.00268318123416193,0.00424826551069804,0.00511865984178688
"ENSG00000176532",0.00264215596924668,0.00477997355626145,0.0027919962773383
"ENSG00000188916",0.00261533683339174,0.00706377066445098,0.00325732899022801
"ENSG00000176907",0.00259479830782494,0.00404275380208529,0.00232666356444858
"ENSG00000129514",0.00254566766447594,0.00300109557385017,0.00139599813866915
"ENSG00000175352",0.0025027277015843,0.00654451709976872,0.00651465798045603
"ENSG00000180777",0.00237345705007328,0.00656136586201816,0.00744532340623546
"ENSG00000108244",0.00232318362966392,0.00264295151948343,0.00697999069334574
"ENSG00000139910",0.0022737005059255,0.00282689456610806,0.0027919962773383
"ENSG00000109436",0.0022611174293377,0.00469495317773863,0.00418799441600745
"ENSG00000163491",0.00225914287094761,0.00198319169982497,0.00232666356444858
"ENSG00000211677",0.00222733332553488,0.00147220850432172,0.00139599813866915
"ENSG00000110195",0.00221926859649833,0.00449922303533096,0.00232666356444858
"ENSG00000115290",0.00220564715054846,0.00146276822280388,0.00186133085155886
"ENSG00000157303",0.00219944366274679,0.00247022290450563,0.00372266170311773
"ENSG00000166825",0.00217668292372956,0.00144827121573495,0.00325732899022801
"ENSG00000176887",0.00216994083141496,0.00375461769734784,0.000930665425779432
"ENSG00000164742",0.00215561317179385,0.00582501522689719,0.00511865984178688
"ENSG00000211669",0.00210772400558267,0.00612601868022005,0.00511865984178688
"ENSG00000171102",0.00208567657996017,0.00285400187365581,0.00232666356444858
"ENSG00000156689",0.00207544267658392,0.00428235589821965,0.00418799441600745
"ENSG00000144331",0.00206530997906989,0.00180597902343228,0.00325732899022801
"ENSG00000118785",0.0020597449095407,0.00162866692618261,0.0027919962773383
"ENSG00000168743",0.00205923219813696,0.00223976704517272,0.00325732899022801
"ENSG00000234918",0.00200042769430535,0.00239643527516937,0.00139599813866915
"ENSG00000148346",0.00199614266315722,0.00363152190233548,0.00511865984178688
"ENSG00000186377",0.00193434611311311,0.00496966373097005,0.00511865984178688
"ENSG00000211640",0.00193046061542377,0.00122006443695207,0.00186133085155886
"ENSG00000170786",0.00188602038351281,0.00230591529636893,0.0027919962773383
"ENSG00000186160",0.00186493350871459,0.00401083428403956,0.0027919962773383
"ENSG00000100146",0.00184254446110327,0.0033200673285271,0.0027919962773383
"ENSG00000074410",0.00183253120599608,0.00324905336033533,0.00139599813866915
"ENSG00000168447",0.00178598848146207,0.00152943490857793,0.00232666356444858
"ENSG00000206075",0.00176124970379815,0.0023829791140904,0.00186133085155886
"ENSG00000164530",0.00172752601725007,0.0010255873588727,0.00186133085155886
"ENSG00000103534",0.00171979079890933,0.00224536040233123,0.00139599813866915
"ENSG00000185352",0.00171482099247067,0.000721882429973031,0.00186133085155886
"ENSG00000096006",0.00169993899757676,0.00338170030618483,0.00604932526756631
"ENSG00000086548",0.00158894275589253,0.0029122070611852,0.00325732899022801
"ENSG00000163220",0.00155638579057029,0.00200494691149381,0.00139599813866915
"ENSG00000105523",0.00152649748601637,0.00100991085890963,0.00325732899022801
"ENSG00000081479",0.00151360410974925,0.00305554590675929,0.00418799441600745
"ENSG00000167755",0.00150599306696435,0.00275139255966712,0.00139599813866915
"ENSG00000152049",0.0015049264379186,0.00333688331202128,0.00418799441600745
"ENSG00000019505",0.00147618703567669,0.00185665654571183,0.00372266170311773
"ENSG00000111341",0.001476090841384,0.000983302824829105,0.00186133085155886
"ENSG00000125999",0.00146623823492191,0.00174026412666237,0.000465332712889716
"ENSG00000198729",0.00146325147869946,0.00313241040072629,0.00232666356444858
"ENSG00000211592",0.00144715306451533,0.00151912562851504,0.00186133085155886
"ENSG00000181617",0.00144107082885393,0.00171849770755147,0.00232666356444858
"ENSG00000211660",0.00144040582142095,0.00197174323750631,0.00232666356444858
"ENSG00000178372",0.00143402873841958,0.00242265080775756,0.0027919962773383
"ENSG00000162482",0.00141972752874871,0.0014448283618404,0.0027919962773383
"ENSG00000118849",0.00141632787488208,0.00148785156272381,0.00372266170311773
"ENSG00000133048",0.00137168049809771,0.00247067505851216,0.00558399255467659
"ENSG00000081277",0.00132948266512552,0.00196249577219594,0.00186133085155886
"ENSG00000168269",0.00132125909717731,0.00326591369155723,0.00418799441600745
"ENSG00000224389",0.00131129080698552,0.00265826739288347,0.00186133085155886
"ENSG00000105388",0.00129694853028664,0.00214999519325727,0.0027919962773383
"ENSG00000049540",0.00126717660551376,0.00428359811663629,0.0027919962773383
"ENSG00000110484",0.00126190805384772,0.00274838269866848,0.00372266170311773
"ENSG00000168350",0.00125416643183482,0.00232069658683375,0.00465332712889716
"ENSG00000089199",0.00122600892849804,0.00478574695555368,0.00604932526756631
"ENSG00000022556",0.0012102983541105,0.00427319471816213,0.00558399255467659
"ENSG00000159212",0.0012026419287794,0.00133078203399536,0.00232666356444858
"ENSG00000205420",0.00119373706579727,0.00201228007339437,0.00325732899022801
"ENSG00000120251",0.00117122523473277,0.000403131088323259,0.000930665425779432
"ENSG00000131771",0.00113110713350541,0.00101258913628648,0.0027919962773383
"ENSG00000169862",0.001114259837704,0.0014957254535762,0.00186133085155886
